CustomerID,Gender,AgeGroup,Region,County,SignupChannel,FirstPurchaseDate
C00001,Female,46+,Western,Kakamega,App,2022-06-16
C00002,Male,26–35,Eastern,Machakos,Referral,2024-08-22
C00003,Male,46+,Nyanza,Kisii,Referral,2024-05-03
C00004,Female,26–35,Western,Kakamega,Website,2024-12-21
C00005,Female,36–45,Coast,Mombasa,Social Media,2022-06-23
C00006,Male,18–25,Nyanza,Kisumu,App,2023-09-16
C00007,Male,18–25,Nyanza,Kisumu,Website,2023-02-19
C00008,Male,36–45,Western,Kakamega,Referral,2024-01-09
C00009,Male,26–35,Central,Nyeri,Social Media,2023-11-06
C00010,Male,46+,Coast,Mombasa,Website,2022-05-06
C00011,Female,26–35,Western,Kakamega,Website,2024-07-29
C00012,Male,18–25,Coast,Mombasa,Referral,2022-09-10
C00013,Male,36–45,Coast,Mombasa,Social Media,2022-07-16
C00014,Female,36–45,Nyanza,Kisumu,App,2023-02-17
C00015,Male,26–35,Eastern,Machakos,Website,2024-02-15
C00016,Male,26–35,Coast,Mombasa,Referral,2024-12-13
C00017,Female,36–45,Rift Valley,Eldoret,Website,2022-08-22
C00018,Male,18–25,Nyanza,Kisumu,Referral,2024-12-21
C00019,Female,46+,Central,Nyeri,Referral,2022-07-15
C00020,Male,46+,Eastern,Meru,Referral,2023-06-26
C00021,Male,26–35,Rift Valley,Nakuru,Social Media,2022-10-22
C00022,Male,36–45,Rift Valley,Nakuru,App,2023-10-07
C00023,Female,36–45,Central,Nyeri,Social Media,2022-06-05
C00024,Female,36–45,Eastern,Meru,App,2023-02-10
C00025,Female,18–25,Nyanza,Kisii,Referral,2024-06-14
C00026,Female,26–35,Nairobi,Nairobi,App,2023-12-27
C00027,Male,26–35,Eastern,Machakos,Social Media,2024-01-08
C00028,Female,26–35,Central,Nyeri,Website,2024-03-07
C00029,Female,18–25,Rift Valley,Nakuru,Social Media,2023-07-08
C00030,Female,26–35,Nyanza,Kisumu,Social Media,2023-01-10
C00031,Male,46+,Eastern,Meru,Social Media,2023-03-31
C00032,Male,26–35,Nairobi,Nairobi,Social Media,2022-07-21
C00033,Female,26–35,Nairobi,Nairobi,Social Media,2024-05-03
C00034,Female,26–35,Coast,Mombasa,App,2023-12-25
C00035,Male,18–25,Coast,Mombasa,App,2022-12-06
C00036,Female,46+,Western,Kakamega,Website,2022-09-19
C00037,Female,46+,Central,Nyeri,Social Media,2023-06-27
C00038,Female,36–45,Eastern,Machakos,Social Media,2023-07-05
