OrderID,OrderDate,CustomerID,ProductID,Quantity,DeliveryCounty,UnitPrice (KES),OrderTotal (KES),DeliveryFee (KES)
ORD00001,2022-08-17,C07271,P008,2,Mombasa,6500,13000,380
ORD00002,2022-02-21,C00861,P005,3,Kiambu,2200,6600,120
ORD00003,2023-07-18,C05391,P006,3,Nakuru,2800,8400,220
ORD00004,2023-05-17,C05192,P001,3,Bungoma,21500,64500,335
ORD00005,2023-04-03,C05735,P010,3,Kisii,1200,3600,280
ORD00006,2022-10-13,C06266,P002,4,Kisumu,55000,220000,320
ORD00007,2022-07-29,C00467,P011,2,Kiambu,900,1800,120
ORD00008,2022-06-28,C04427,P004,4,Kiambu,3500,14000,120
ORD00009,2024-05-14,C05579,P011,1,Kisii,900,900,280
ORD00010,2022-03-07,C08323,P009,2,Nakuru,3800,7600,220
ORD00011,2022-03-03,C01686,P006,2,Nakuru,2800,5600,220
ORD00012,2022-07-11,C00770,P008,4,Kisii,6500,26000,280
ORD00013,2023-03-24,C06950,P002,1,Nairobi,55000,55000,100
ORD00014,2023-04-22,C02434,P010,3,Machakos,1200,3600,150
ORD00015,2024-10-31,C05312,P005,1,Kisumu,2200,2200,320
ORD00016,2022-02-24,C05052,P001,4,Kericho,21500,86000,290
ORD00017,2023-02-12,C06421,P004,4,Meru,3500,14000,240
ORD00018,2024-05-09,C01185,P010,4,Kakamega,1200,4800,330
ORD00019,2023-03-28,C04556,P001,3,Bungoma,21500,64500,335
ORD00020,2024-07-08,C03386,P011,2,Nairobi,900,1800,100
ORD00021,2023-07-24,C06397,P011,1,Kericho,900,900,290
ORD00022,2022-01-14,C08667,P009,1,Meru,3800,3800,240
ORD00023,2022-11-23,C09275,P002,3,Mombasa,55000,165000,380
ORD00024,2024-05-15,C02559,P007,4,Nyeri,4500,18000,180
ORD00025,2023-11-28,C07850,P003,1,Mombasa,32000,32000,380
ORD00026,2023-07-24,C02048,P002,2,Kisii,55000,110000,280
ORD00027,2022-11-15,C02748,P004,1,Kakamega,3500,3500,330
ORD00028,2023-03-17,C09168,P007,4,Meru,4500,18000,240
ORD00029,2023-11-21,C09999,P007,1,Nakuru,4500,4500,220
ORD00030,2022-07-29,C00190,P009,4,Machakos,3800,15200,150
